,State,District,Year,Civilians,Security Forces,Terrorists/Insurgents/Extremists,Not Specified,Total Fatalities,Funds Released,Annual Allocation,Rural Literacy Rate,Geographical area,Very dense forest,Moderately dense forest,Open forest,Total Forest Cover,Actual Rainfall (mm),Ruggedness Minimum,Ruggedness Maximum,Ruggednness Range,Ruggedness Mean,Ruggednness Std. Dev,Ruggedness Sum,Pollution (μg/m3)
742,West Bengal,Medinipur,2013,0,0,1,0,1,21.82,71.04,0.722189532,14081,218,802,1964,2984,4095.84,0,323.8890915,323.8890915,20.33828854,13.70330025,155320.7894,83.78581908
743,West Bengal,Murshidabad,2007,0,0,0,0,0,10.1,19.85,0.559957497,5324,0,63,44,107,1430.95,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,46.32211222
744,West Bengal,Murshidabad,2008,0,0,0,0,0,4.37,19.85,0.559957497,5324,0,63,44,107,1422.59,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,50.45750623
745,West Bengal,Murshidabad,2009,0,0,0,0,0,32.06,19.85,0.559957497,5324,0,63,44,107,1340.69,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,54.26854734
746,West Bengal,Murshidabad,2010,2,0,0,0,2,19.85,19.85,0.559957497,5324,0,63,44,107,983.06,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,53.4304793
747,West Bengal,Murshidabad,2011,0,0,0,0,0,21.84,21.84,0.559957497,5324,0,63,44,107,814.15,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,48.91507922
748,West Bengal,Murshidabad,2012,0,0,0,0,0,21.84,21.84,0.559957497,5324,0,58.5,169,227.5,504.8,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,53.63586121
749,West Bengal,Murshidabad,2013,0,0,0,0,0,0,26.8,0.559957497,5324,0,54,294,348,1323.16,0,87.36704254,87.36704254,17.07313779,10.95346357,95455.91337,52.66235842
750,West Bengal,Purulia,2007,0,0,1,1,2,10.1,26.81,0.537726636,6259,43,373,381,797,1753.79,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,44.34813767
751,West Bengal,Purulia,2008,2,3,0,1,6,25.65,26.81,0.537726636,6259,43,373,381,797,1372.96,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,49.2363868
752,West Bengal,Purulia,2009,6,2,0,0,8,24.07,26.81,0.537726636,6259,43,373,381,797,1412.24,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,49.84609361
753,West Bengal,Purulia,2010,27,1,7,0,35,26.81,26.81,0.537726636,6259,43,373,381,797,898.54,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,47.4123645
754,West Bengal,Purulia,2011,5,1,2,0,8,4.73,30.2,0.537726636,6259,43,373,381,797,1488.63,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,46.62104249
755,West Bengal,Purulia,2012,0,0,0,0,0,55.67,30.2,0.537726636,6259,37,340.5,455.5,833,1244.57,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,46.24826549
756,West Bengal,Purulia,2013,0,0,0,0,0,12.05,37.04,0.537726636,6259,31,308,530,869,1568.77,0,851.7247314,851.7247314,25.61704183,44.27940999,161771.6191,50.5516831
757,West Bengal,South_24_Parganas,2007,0,0,0,0,0,27.7,30.66,0.656363945,9960,1014,889,501,2404,2003.04,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,35.56416052
758,West Bengal,South_24_Parganas,2008,0,0,0,0,0,23.6,30.66,0.656363945,9960,1014,889,501.5,2404.5,1503.68,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,37.48048583
759,West Bengal,South_24_Parganas,2009,1,0,0,0,1,7.24,30.66,0.656363945,9960,1014,889,502,2405,1504.57,0,38.41874695,38.41874695,3.254560724,3.851956759,23947.05781,41.9823542
